Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,42.81386435031891,0.8955055697075096,0.946311561,19999,0,0,9866863.6,18163379.04,4261.851597604027,0,0,0,42,63
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,0.3258958339691162,0.012785901533104608,0.11307476081382886,60.2,0.16,0.4,30212.4,19267.44,138.80720442397794,30000,0,0,2473,100002
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.1, decay_function = inverse_time_decay)",FALSE,1.4374919891357423,0.011186395289817026,0.10576575669760524,528.8,263.55999999999995,16.23453109886454,261237.6,68414828.84,8271.325700273204,261000,69000000,8306.623862918075,310,100002
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,11.569480323791504,0.11448701645148503,0.3383593008201268,5450.5,22332.85,149.44179468943753,2690325.5,5284936390,72697.56798029767,2690000,5280000000,72663.6085,44,10459
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,45.20019302368164,12.690681578710715,3.5623982902969615,19999,0,0,9866130.2,17235436.560000002,4151.5583291096855,0,0,0,34,54
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,0.3164337396621704,0.000238631,0.015447689975192675,19.6,0.24,0.4898979485566356,10086.9,16569.489999999998,128.72253105031768,10000,0,0,100002,100002
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.1, decay_function = inverse_time_decay)",FALSE,0.32772250175476075,0.014267910535702411,0.11944835928426313,80.5,0.45,0.6708203932499369,40271.4,24991.440000000002,158.08681159413646,40000,0,0,2851,100002
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,1.3682909250259399,0.002024661,0.044996230344649356,645.5,255.85,15.995311813153252,318186.2,56835434.160000004,7538.927918477534,318000,56000000,7483.314773547882,239,45517
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,14.034474778175355,0.34873579961387174,0.5905385674228837,6474.8,32659.360000000004,180.71900840808087,3194256.8,8041807993,89676.12833168033,3194000,8044000000,89688.34929911465,42,92
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.125, decay_function = polynomial_decay)",TRUE,43.22987802028656,3.967844466045313,1.9919448953335313,19999,0,0,9864772.4,20445002.64,4521.615047745661,0,0,0,42,60
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.25, decay_function = polynomial_decay)",TRUE,46.11627531051636,0.5177194073057307,0.7195272109557295,19999,0,0,9864996.8,7925528.360000001,2815.2314931458127,0,0,0,38,53
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.375, decay_function = polynomial_decay)",TRUE,45.953277063369754,0.35285974085682936,0.5940199835500733,19999,0,0,9865685.9,20164904.09,4490.534944747675,0,0,0,39,62
